user_id,,user_id,news_id,prop
900,8,900,8,0.6027177572250366
2400,433,2400,433,0.6139027059078217
2400,432,2400,432,0.6032149612903595
2700,32,2700,32,0.603449958562851
3600,247,3600,247,0.5935425341129303
4200,159,4200,159,0.6073177754878998
4200,160,4200,160,0.6018131315708161
4200,161,4200,161,0.5944262623786927
4200,158,4200,158,0.5941587388515472
4200,157,4200,157,0.5932378113269806
6600,191,6600,191,0.5985594928264618
6600,187,6600,187,0.5947391927242279
6600,188,6600,188,0.5911752045154571
6600,189,6600,189,0.5908588588237762
6600,190,6600,190,0.5899512529373169
6900,109,6900,109,0.5949866056442261
7500,386,7500,386,0.6069700539112091
7500,387,7500,387,0.6065496385097504
7500,390,7500,390,0.5938788414001465
7500,389,7500,389,0.5935970187187195
7500,388,7500,388,0.5926218509674073
7500,391,7500,391,0.5923282206058502
7800,170,7800,170,0.6168966650962829
7800,168,7800,168,0.6030513882637024
7800,169,7800,169,0.6030513882637024
7800,172,7800,172,0.5941986382007599
7800,171,7800,171,0.5939383327960968
7800,173,7800,173,0.5931362271308899
7800,167,7800,167,0.592610365152359
8400,140,8400,140,0.5916298687458038
11100,395,11100,395,0.5971188366413116
12000,151,12000,151,0.5996401607990265
12000,152,12000,152,0.590769749879837
12000,149,12000,149,0.5907665848731994
12000,150,12000,150,0.5906714916229248
12900,80,12900,80,0.591955018043518
12900,81,12900,81,0.59078049659729
13200,453,13200,453,0.6031755387783051
13200,454,13200,454,0.5973560452461243
13200,455,13200,455,0.5971705436706543
13200,452,13200,452,0.5951139688491821
14100,398,14100,398,0.6022686541080475
14100,399,14100,399,0.5932101666927337
14100,397,14100,397,0.5927533566951751
16200,393,16200,393,0.592634916305542
16200,394,16200,394,0.592596584558487
16800,142,16800,142,0.6130618214607239
16800,143,16800,143,0.5946832418441772
17100,268,17100,268,0.6316599309444427
17100,270,17100,270,0.628864997625351
17100,269,17100,269,0.6283186316490174
17100,263,17100,263,0.628218549489975
17100,262,17100,262,0.624194884300232
17100,265,17100,265,0.623585718870163
17100,273,17100,273,0.6155109107494354
17100,272,17100,272,0.6129630208015442
17100,271,17100,271,0.6010616064071655
17100,261,17100,261,0.6010218918323517
17100,266,17100,266,0.6008370876312256
17100,259,17100,259,0.5985089778900147
17100,260,17100,260,0.5985089778900147
17100,267,17100,267,0.598143857717514
17100,264,17100,264,0.5980832040309906
18600,421,18600,421,0.5953674256801605
18600,423,18600,423,0.5945680201053619
18600,426,18600,426,0.5933408856391906
18600,417,18600,417,0.5927797734737397
18600,424,18600,424,0.5923507809638977
18600,427,18600,427,0.5922072291374206
18600,425,18600,425,0.5914758026599884
18600,420,18600,420,0.5913902163505554
18600,422,18600,422,0.5913606524467468
18600,419,18600,419,0.5912665903568268
18600,418,18600,418,0.5910555422306061
19800,0,19800,0,0.5920152366161346
20100,279,20100,279,0.5927515208721161
20100,280,20100,280,0.5925343632698059
20100,275,20100,275,0.5920366227626801
20100,277,20100,277,0.5920109927654267
20100,276,20100,276,0.5915826916694641
20100,278,20100,278,0.5915404498577118
20400,361,20400,361,0.6015534639358521
21300,134,21300,134,0.5947846829891205
21300,135,21300,135,0.59383425116539
21900,102,21900,102,0.6082922220230103
21900,100,21900,100,0.6057758510112763
21900,103,21900,103,0.5930186867713928
21900,101,21900,101,0.5921638786792756
21900,104,21900,104,0.5919926524162292
23100,245,23100,245,0.6008866131305695
23100,246,23100,246,0.5939106166362762
25800,345,25800,345,0.5930757820606232
25800,344,25800,344,0.5920048177242279
27000,12,27000,12,0.593403297662735
28500,274,28500,274,0.5906287550926208
29100,74,29100,74,0.5989621758460999
29100,68,29100,68,0.5984750390052795
29100,73,29100,73,0.5943793773651123
29100,67,29100,67,0.5926634073257446
29100,60,29100,60,0.5926556050777435
29100,61,29100,61,0.5919576525688172
29100,66,29100,66,0.5917674958705902
29100,64,29100,64,0.5916057467460633
29100,72,29100,72,0.5913574039936066
29100,69,29100,69,0.5913226962089538
29100,59,29100,59,0.5913210988044739
29100,65,29100,65,0.5912442624568939
29100,62,29100,62,0.5912241578102112
29100,70,29100,70,0.5910739779472352
29100,71,29100,71,0.5910730540752411
29100,63,29100,63,0.5904579579830169
30300,231,30300,231,0.6019391179084778
30300,230,30300,230,0.5984881222248077
31800,58,31800,58,0.5900783956050872
32700,413,32700,413,0.6019016802310944
32700,414,32700,414,0.5991761803627014
